manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Apple,iPhone 16 Pro Max with 256GB,Workplace,Smartphone,,,,4,WW,September 9 2024,https://www.apple.com/environment/pdf/products/iphone/iPhone_16_Pro_and_iPhone_16_Pro_Max_PER_Sept2024.pdf,cc0cb9cc9edb0161bcf0cd55eb58cb26,,,,,,,256GB SSD,,,,2025-04-04,Apple Auto Parser,0.8,0.18,,,,,,iPhone 16 Pro and iPhone 16 Pro Max  256GB (72kgCO2eq) - iPhone 16 Pro and iPhone 16 Pro Max  512GB (84kgCO2eq) - iPhone 16 Pro and iPhone 16 Pro Max  1TB (95kgCO2eq) -
Apple,Apple Vision Pro with 256GB,Workplace,,,,,4,WW,February 2 2024,https://www.apple.com/environment/pdf/products/vision-pro/Apple_Vision_Pro_PER_Feb2024.pdf,075844e7a971d76c63d6295e47c17fc3,,,,,,,256GB SSD,,,,2025-04-04,Apple Auto Parser,0.62,0.32,,,,,,
Apple,Mac Pro with 1TB,Workplace,Desktop,,,,4,WW,June 5 2023,https://www.apple.com/environment/pdf/products/desktops/Mac_Pro_PER_June2023.pdf,a88d39da79a38bce7adfb3b586e6e17b,,,,,,,1TB SSD,,,,2025-04-04,Apple Auto Parser,0.38,0.56,,,,,,
manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Apple,iPhone 16 Pro Max with 256GB,Workplace,Smartphone,,,,4,WW,September 9 2024,https://www.apple.com/environment/pdf/products/iphone/iPhone_16_Pro_and_iPhone_16_Pro_Max_PER_Sept2024.pdf,cc0cb9cc9edb0161bcf0cd55eb58cb26,,,,,,,256GB SSD,,,,2025-04-04,Apple Auto Parser,0.8,0.18,,,,,,iPhone 16 Pro and iPhone 16 Pro Max  256GB (72kgCO2eq) - iPhone 16 Pro and iPhone 16 Pro Max  512GB (84kgCO2eq) - iPhone 16 Pro and iPhone 16 Pro Max  1TB (95kgCO2eq) -
Apple,Apple Vision Pro with 256GB,Workplace,,,,,4,WW,February 2 2024,https://www.apple.com/environment/pdf/products/vision-pro/Apple_Vision_Pro_PER_Feb2024.pdf,075844e7a971d76c63d6295e47c17fc3,,,,,,,256GB SSD,,,,2025-04-04,Apple Auto Parser,0.62,0.32,,,,,,
Apple,Mac Pro with 1TB,Workplace,Desktop,,,,4,WW,June 5 2023,https://www.apple.com/environment/pdf/products/desktops/Mac_Pro_PER_June2023.pdf,a88d39da79a38bce7adfb3b586e6e17b,,,,,,,1TB SSD,,,,2025-04-04,Apple Auto Parser,0.38,0.56,,,,,,
Apple,Mac Studio,Workplace,Desktop,,,,4,WW,March 5 2025,https://www.apple.com/environment/pdf/products/desktops/Mac_Studio_PER_March2025.pdf,933f012e2c5e6c16e9410987e168be62,,,,,,,,,,,2025-04-04,Apple Auto Parser,0.52,0.41,,,,,,
Apple,Mac mini with M4 Pro (8TB SSD),Workplace,Desktop,32.0,,,4,WW,October 29 2024,https://www.apple.com/environment/pdf/products/desktops/Mac_mini_PER_Oct2024.pdf,6068b0e1b50f42db2faa468b6044d8f4,,,,,,,8TB SSD,,,,2025-04-04,Apple Auto Parser,0.07,0.13,,,,,,
Apple,iMac,Workplace,Desktop,,,,4,WW,October 28 2024,https://www.apple.com/environment/pdf/products/desktops/iMac_PER_Oct2024.pdf,ccbdbc63409b71cde563aa2796cb2e87,,,,,,,,,,,2025-04-04,Apple Auto Parser,0.5,0.45,,,,,,iMac 512GB (391kgCO2eq) -
Apple,MacBook Pro 14-inch,Workplace,Laptop,,,,4,WW,October 30 2024,https://www.apple.com/environment/pdf/products/notebooks/MacBook_Pro_14-inch_PER_Oct2024.pdf,d2a931a073aabf1aa84cba1c05f33d55,,,,,14.0,,,,,,2025-04-04,Apple Auto Parser,0.74,0.2,,,,,,MacBook Pro 14-inch 512GB (198kgCO2eq) - MacBook Pro 14-inch 1TB (248kgCO2eq) -
Apple,MacBook Pro 16-inch,Workplace,Laptop,,,,4,WW,October 30 2024,https://www.apple.com/environment/pdf/products/notebooks/MacBook_Pro_16-inch_PER_Oct2024.pdf,2018f5f6cc810b8f3506cf9b2c6e46d9,,,,,16.0,,,,,,2025-04-04,Apple Auto Parser,0.69,0.25,,,,,,MacBook Pro 16-inch 1TB (303kgCO2eq) -
Apple,MacBook Air,Workplace,Laptop,,,,4,WW,March 5 2025,https://www.apple.com/environment/pdf/products/notebooks/M4_MacBook_Air_PER_March2025.pdf,4ce4a2f98ecbbecbfd69d563e3721490,,,,,15.0,,,,,,2025-04-04,Apple Auto Parser,0.71,0.25,,,,,,
Apple,Sport Loop Alpine Loop Trail Loop Milanese Loop Titanium Milanese Loop Braided Solo Loop and Pride Edition Braided Solo Loop (42mm and 46mm),Workplace,,6.0,,,,WW,,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_Carbon_Neutral_Report_Bands_Sept2024.pdf,f2143dc3ed74a9dcb5a3894ded146a90,,,,,,,,,,,2025-04-04,Apple Auto Parser,0.05,,,,,,,
Apple,Apple Watch SE GPS + Cellular 44mm paired with Sport Loop,Home,IoT,2.0,,,4,WW,September 12 2023,https://www.apple.com/environment/pdf/products/watch/Apple_Watch_SE_PER_Sept2024.pdf,d0baad54608d51fd77bfeff5ebcd4a5a,,,,,,,,,,,2025-04-04,Apple Auto Parser,0.09,0.04,,,,,,
