manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.19,,5.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137042.pdf,89ca6326e781fb72b664aa4529c0333c,,0.79,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.12,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137050.pdf,4391932c4e28f47cbad6feff46e7d713,,0.87,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.14,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137053.pdf,a282c3560f49621a9d9f6c7b21925422,,0.77,,,,,,,,,2025-04-02,HP Auto Parser,0.08,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.05,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137048.pdf,d632240ad7643ee3cce2cf5f1fad2cd8,,0.95,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.03,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137036.pdf,f7a0857a07d354a57f6a9e439b02ad21,,0.96,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.07,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137038.pdf,e6c6be953b3ae3a5c3fa1b059bc8e7ad,,0.9,,,,,,,,,2025-04-02,HP Auto Parser,0.03,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.05,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137037.pdf,508e679ff7c1a62f73a62a7ed420cd02,,0.95,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.1,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137051.pdf,2bf1879d0101a81a018a17fcd698dbb4,,0.89,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.07,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137049.pdf,47dbbf19fbfec03b85db7c4fb5d91084,,0.93,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 24-Mar-2025Estimated,Workplace,Workstation,,0.1,,4.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137052.pdf,dc3e6c4296f1ff8888a8b0f4bdd47968,,0.89,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 25-Mar-2025Estimated,Workplace,Workstation,,0.39,,5.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137041.pdf,5381e77773700d30b9ee312fb6b197ef,,0.59,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 25-Mar-2025Estimated,Workplace,Workstation,,0.46,,5.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137043.pdf,d9125d5cd2a30b835e42defa1762e01a,,0.53,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 25-Mar-2025Estimated,Workplace,Workstation,,0.47,,5.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137039.pdf,edce09689751dd3b54f9e93090a64568,,0.51,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,| 25-Mar-2025Estimated,Workplace,Workstation,,0.44,,5.0,,,https://h20195.www2.hp.com/v2/getpdf.aspx/c09137040.pdf,b7d938e3c3ba63f1121a704a72e873dc,,0.54,,,,,,,,,2025-04-02,HP Auto Parser,,,,,,,,
HP,,Workplace,Workstation,,0.38,,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c09129337.pdf,d80f2185b3326c8d3f642bd802daa6c4,,0.6,,,,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
