manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Lenovo,ThinkPad Edge E545,,,522.0,0.13,,3.0,US,,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-thinkpad-edge-e545.pdf,3b698a3546432f5b726aa2000f838e58,0.132,0.58,3.6,CN,15.6,,,,,,2025-04-04,Lenovo Auto Parser,0.28,0.01,,0.02,,,,
Lenovo,ThinkPad  T440,,,301.0,0.14,,4.0,US,,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-thinkpad-t440.pdf,0f9742dc3c44babb19bb0313b2d04bdf,,0.78,1.88,,,,,,,,2025-04-04,Lenovo Auto Parser,0.08,0.0,,0.03,0.03,,,
Lenovo,LI2364d,,,309.0,0.47,,5.0,WW,2016-3-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-li2364d.pdf,584a3babf824bbfc913d3dd0121f08d2,0.194,0.5,4.78,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.01,0.02,,,,,,
Lenovo,Li2264d,,,509.0,0.47,,5.0,WW,2016-3-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-li2264d.pdf,c3d6259eac62e2f10e9940455848e37a,0.193,0.23,4.43,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,0.01,0.29,,,,,,
Lenovo,Legion Y44w-10,,,508.0,,,5.0,WW,2019-03-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-legion-y44w-10.pdf,d22e2ce83fc8720777d4b02937d84e97,0.374,,18.37,CN,43.4,,,,,,2025-04-04,Lenovo Auto Parser,,0.0,0.01,,,,,
Lenovo,Legion Y32p-30,,,1350.0,0.43,,5.0,WW,2022-09-1,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-legion-y32p-30.pdf,06709073b2af113f4a3a3e34f3b38ca5,0.225,0.29,9.51,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,0.27,0.01,,,,,,
Lenovo,Legion Y27q-30,,,946.0,0.38,,5.0,WW,2021-07-0,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-legion-y27q-30.pdf,db4ae2b6c869c30c38cd8eaef4c8ea9d,0.209,0.34,6.6,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.27,0.01,,,,,,
Lenovo,Legion Y27h-30,,,941.0,0.39,,5.0,WW,2021-07-0,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-legion-y27h-30.pdf,218cd9019748c16061f25745a2b223cc,0.211,0.32,6.8,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.28,0.01,,,,,,
Lenovo,Legion Y27-30,,,814.0,0.3,,5.0,WW,2021-07-0,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-legion-y27-30.pdf,b3451dd3c476419d3fdd5d7a7b91db38,0.208,0.42,6.4,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.27,0.01,,,,,,
Lenovo,Legion Y27q-20,,,478.0,0.5,,5.0,WW,2019-05-1,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch3/PCF_Legion_Y27q-20.pdf,c81d67ba1b5eb1acd42144a17dd63518,0.331,,6.77,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,0.0,0.14,,,,,
